Obs ID (Primary)	Obs ID (Category)	M13.YPredPS[1]($M13.DA(1))
1olq	0	-0.338713
1qs4	0	-0.249548
1rnt	0	-0.167838
1hqg	0	-0.0348647
1ai2	0	0.00673842
1nnc	0	0.0401171
1o8b	0	0.101582
1c9y	0	0.109646
1e+009	0	0.11654
1nlj	0	0.120154
1x9d	0	0.19021
2gyi	0	0.207099
1f9g	0	0.244274
1jak	0	0.26004
1onz	0	0.267335
1cg0	0	0.283837
1lpz	1	0.303236
1t03	0	0.308091
1ucn	0	0.341122
1gpu	0	0.367572
1gkc	1	0.370773
1moq	0	0.393943
1icj	0	0.428734
1fth	0	0.45996
3pcm	0	0.482579
1qxo	0	0.496375
1u30	1	0.52226
1g7v	0	0.525925
2gsu	0	0.54824
1qmf	0	0.561077
2gh5	1	0.566708
1n2v	1	0.614041
2br1	1	0.619454
1kts	0	0.64415
1ke6	1	0.649023
1r58	1	0.660516
1j4i	1	0.660813
2i0e	1	0.686636
1yqy	1	0.694414
1hw8	1	0.698538
1u4d	1	0.712105
1js3	1	0.71391
1c14	1	0.720964
1v4s	1	0.73423
1qhi	1	0.744429
1m17	1	0.763504
1qpe	1	0.775559
1vbm	1	0.778743
1rsz	1	0.783878
2ivu	1	0.837221
1yvf	1	0.842684
1hvy	1	0.84587
1xm6	1	0.847404
2dq7	1	0.852327
1o5r	1	0.864739
1hvr	1	0.88972
2fb8	1	0.893377
1ywr	1	0.914546
1e9x	1	0.960331
3d4s	1	0.964465
1sqi	1	0.974034
2bxr	1	0.986393
2g24	1	1.00404
1kvo	1	1.0098
1k7f	1	1.05684
1m2z	1	1.057
1ywn	1	1.07264
1udt	1	1.14214
2hiw	1	1.14221
4cox	1	1.18904
1gwr	1	1.25495
1rv1	1	1.26655
1r9o	1	1.28472
1k8q	1	1.35886
