Obs ID (Primary)	Obs ID (Category)	M4.YPredPS[1]($M4.DA(1))
1ai2	0	0.0346409
1ajs	0	0.538225
1c14	1	0.768686
1c9y	0	-0.0926285
1cg0	0	0.143316
1e+009	0	0.0966097
1e9x	1	0.921778
1f9g	0	0.244425
1fth	0	0.46803
1g7v	0	0.504122
1gkc	1	0.398255
1gpu	0	0.381968
1gwr	1	1.12986
1hqg	0	-0.135185
1hvr	1	0.868281
1hvy	1	0.857253
1hw8	1	0.706783
1icj	0	0.527399
1j4i	1	0.724618
1jak	0	0.231109
1js3	1	0.74695
1k7f	1	1.05339
1k8q	1	1.33327
1ke6	1	0.675848
1kts	0	0.7572
1kvo	1	1.07216
1lpz	1	0.323115
1m17	1	0.820415
1m2z	1	0.892132
1moq	0	0.377343
1n2v	1	0.597632
1nlj	0	0.14135
1nnc	0	-0.0516798
1o5r	1	0.855859
1o8b	0	0.129671
1onz	0	0.257612
1qhi	1	0.556714
1qmf	0	0.572962
1qpe	1	0.781473
1qs4	0	-0.233659
1qxo	0	0.482752
1r58	1	0.664193
1r9o	1	1.23523
1rnt	0	-0.13321
1rsz	1	0.818671
1rv1	1	1.36072
1sqi	1	1.01497
1t03	0	0.401972
1u30	1	0.545867
1u4d	1	0.708297
1ucn	0	0.431067
1udt	1	1.10641
1v4s	1	0.776309
1vbm	1	0.747222
1x70	1	0.604316
1x9d	0	0.122152
1xm6	1	0.715348
1yqy	1	0.73048
1yvf	1	0.823061
1ywn	1	1.178
1ywr	1	0.924231
2br1	1	0.601921
2bxr	1	0.870065
2dq7	1	0.879469
2fb8	1	0.901369
2g24	1	1.04541
2gh5	1	0.565098
2gsu	0	0.555822
2gyi	0	0.107526
2hiw	1	1.21668
2i0e	1	0.625824
2ivu	1	0.859661
3d4s	1	0.894062
3pcm	0	0.487546
4cox	1	1.15418
