Obs ID (Primary)	Obs ID (Category)	M2.YVarPS($M2.DA(1))	M2.YPredPS[1]($M2.DA(1))	M2.YVarPS($M2.DA(2))	M2.YPredPS[1]($M2.DA(2))
1ai2	0	0	0.0240936	1	0.975906
1ajs	0	0	0.559653	1	0.440347
1c14	1	1	0.763131	0	0.236869
1c9y	0	0	-0.0680876	1	1.06809
1cg0	0	0	0.168306	1	0.831694
1e+009	0	0	0.0875714	1	0.912429
1e9x	1	1	0.940978	0	0.0590221
1f9g	0	0	0.216303	1	0.783697
1fth	0	0	0.458313	1	0.541687
1g7v	0	0	0.500873	1	0.499127
1gkc	1	1	0.394676	0	0.605324
1gpu	0	0	0.379594	1	0.620406
1gwr	1	1	1.16944	0	-0.169442
1hqg	0	0	-0.130149	1	1.13015
1hvr	1	1	0.879053	0	0.120947
1hvy	1	1	0.855831	0	0.144169
1hw8	1	1	0.712794	0	0.287206
1icj	0	0	0.488274	1	0.511726
1j4i	1	1	0.730486	0	0.269514
1jak	0	0	0.238842	1	0.761158
1js3	1	1	0.738457	0	0.261543
1k7f	1	1	1.06458	0	-0.0645812
1k8q	1	1	1.36091	0	-0.360909
1ke6	1	1	0.669717	0	0.330283
1kts	0	0	0.718161	1	0.281839
1kvo	1	1	1.05708	0	-0.057083
1lpz	1	1	0.303968	0	0.696032
1m17	1	1	0.809234	0	0.190766
1m2z	1	1	0.930484	0	0.0695155
1moq	0	0	0.380782	1	0.619218
1n2v	1	1	0.597546	0	0.402454
1nlj	0	0	0.123184	1	0.876816
1nnc	0	0	-0.0470041	1	1.047
1o5r	1	1	0.85893	0	0.14107
1o8b	0	0	0.125783	1	0.874217
1onz	0	0	0.256736	1	0.743264
1qhi	1	1	0.591813	0	0.408187
1qmf	0	0	0.563307	1	0.436693
1qpe	1	1	0.786005	0	0.213995
1qs4	0	0	-0.229622	1	1.22962
1qxo	0	0	0.46839	1	0.53161
1r58	1	1	0.661825	0	0.338175
1r9o	1	1	1.26376	0	-0.26376
1rnt	0	0	-0.15118	1	1.15118
1rsz	1	1	0.81418	0	0.18582
1rv1	1	1	1.34299	0	-0.342987
1sqi	1	1	1.00962	0	-0.00961729
1t03	0	0	0.386322	1	0.613678
1u30	1	1	0.537802	0	0.462198
1u4d	1	1	0.704509	0	0.295491
1ucn	0	0	0.390507	1	0.609493
1udt	1	1	1.12318	0	-0.123179
1v4s	1	1	0.765446	0	0.234554
1vbm	1	1	0.751162	0	0.248838
1x70	1	1	0.581521	0	0.418479
1x9d	0	0	0.129129	1	0.870871
1xm6	1	1	0.743303	0	0.256697
1yqy	1	1	0.708292	0	0.291708
1yvf	1	1	0.827625	0	0.172375
1ywn	1	1	1.15301	0	-0.153009
1ywr	1	1	0.929588	0	0.0704123
2br1	1	1	0.606591	0	0.393409
2bxr	1	1	0.900109	0	0.0998915
2dq7	1	1	0.872286	0	0.127714
2fb8	1	1	0.905563	0	0.094437
2g24	1	1	1.03974	0	-0.039741
2gh5	1	1	0.563378	0	0.436622
2gsu	0	0	0.544639	1	0.455361
2gyi	0	0	0.131498	1	0.868502
2hiw	1	1	1.19292	0	-0.192921
2i0e	1	1	0.642432	0	0.357568
2ivu	1	1	0.854588	0	0.145412
3d4s	1	1	0.917057	0	0.0829433
3pcm	0	0	0.480458	1	0.519542
4cox	1	1	1.17774	0	-0.177736
