Obs ID (Primary)	Obs ID (Category)	M1.YVarPS($M1.DA(1))	M1.YPredPS[1]($M1.DA(1))	M1.YVarPS($M1.DA(2))	M1.YPredPS[1]($M1.DA(2))
1ai2	0	0	0.00015479	1	0.999845
1ajs	0	0	0.585912	1	0.414088
1c14	1	1	0.814481	0	0.185519
1c9y	0	0	-0.0369814	1	1.03698
1cg0	0	0	0.164525	1	0.835475
1e+009	0	0	0.0976578	1	0.902342
1e9x	1	1	0.991029	0	0.00897088
1f9g	0	0	0.188487	1	0.811513
1fth	0	0	0.409902	1	0.590098
1g7v	0	0	0.477833	1	0.522167
1gkc	1	1	0.468028	0	0.531972
1gpu	0	0	0.387494	1	0.612506
1gwr	1	1	1.3263	0	-0.3263
1hqg	0	0	-0.155438	1	1.15544
1hvr	1	1	0.908439	0	0.0915611
1hvy	1	1	0.829756	0	0.170244
1hw8	1	1	0.75957	0	0.24043
1icj	0	0	0.592598	1	0.407402
1j4i	1	1	0.785812	0	0.214188
1jak	0	0	0.218782	1	0.781218
1js3	1	1	0.668552	0	0.331448
1k7f	1	1	1.06697	0	-0.0669715
1k8q	1	1	1.36028	0	-0.360278
1ke6	1	1	0.652225	0	0.347775
1kts	0	0	0.72048	1	0.27952
1kvo	1	1	0.95484	0	0.0451601
1lpz	1	1	0.278672	0	0.721328
1m17	1	1	0.838993	0	0.161007
1m2z	1	1	1.05716	0	-0.0571576
1moq	0	0	0.502796	1	0.497204
1n2v	1	1	0.596017	0	0.403983
1nlj	0	0	0.221075	1	0.778925
1nnc	0	0	-0.0641085	1	1.06411
1o5r	1	1	0.853661	0	0.146339
1o8b	0	0	0.160568	1	0.839432
1onz	0	0	0.271517	1	0.728483
1qhi	1	1	0.640721	0	0.359279
1qmf	0	0	0.57382	1	0.42618
1qpe	1	1	0.773846	0	0.226154
1qs4	0	0	-0.232337	1	1.23234
1qxo	0	0	0.37467	1	0.62533
1r58	1	1	0.62228	0	0.37772
1r9o	1	1	1.24143	0	-0.241433
1rnt	0	0	-0.140188	1	1.14019
1rsz	1	1	0.845024	0	0.154976
1rv1	1	1	1.28935	0	-0.289345
1sqi	1	1	1.00098	0	-0.000980386
1t03	0	0	0.448992	1	0.551008
1u30	1	1	0.521508	0	0.478492
1u4d	1	1	0.691664	0	0.308336
1ucn	0	0	0.302714	1	0.697286
1udt	1	1	1.06816	0	-0.0681555
1v4s	1	1	0.76649	0	0.23351
1vbm	1	1	0.772613	0	0.227387
1x70	1	1	0.45566	0	0.54434
1x9d	0	0	0.208949	1	0.791051
1xm6	1	1	0.695222	0	0.304778
1yqy	1	1	0.609122	0	0.390878
1yvf	1	1	0.837063	0	0.162937
1ywn	1	1	1.1034	0	-0.103402
1ywr	1	1	0.972988	0	0.0270121
2br1	1	1	0.665036	0	0.334964
2bxr	1	1	0.884957	0	0.115043
2dq7	1	1	0.821515	0	0.178485
2fb8	1	1	0.910422	0	0.0895778
2g24	1	1	1.00691	0	-0.00690558
2gh5	1	1	0.619194	0	0.380806
2gsu	0	0	0.433631	1	0.566369
2gyi	0	0	0.13283	1	0.86717
2hiw	1	1	1.10274	0	-0.102745
2i0e	1	1	0.648835	0	0.351165
2ivu	1	1	0.869137	0	0.130863
3d4s	1	1	0.891589	0	0.108411
3pcm	0	0	0.399685	1	0.600315
4cox	1	1	1.21535	0	-0.215348
