Obs ID (Primary)	Obs ID (Category)	M1.YPredPS[1]($M1.DA(0))
1olq	0	-0.40336
1qs4	0	-0.139059
1rnt	0	-0.0855547
1hqg	0	0.00843312
1ai2	0	0.0249642
1nnc	0	0.0880401
1t03	0	0.114118
1e+009	0	0.17488
1o8b	0	0.176286
1onz	0	0.21216
1c9y	0	0.25929
1gpu	0	0.290652
2gyi	0	0.293038
1jak	0	0.305562
1ucn	0	0.326995
1rwq	1	0.330747
1f9g	0	0.342443
1lpz	1	0.349045
1cg0	0	0.365814
2gsu	0	0.373259
1nlj	0	0.399096
1x9d	0	0.40726
1kts	0	0.417614
1fth	0	0.443429
3pcm	0	0.447262
1qxo	0	0.454025
1g7v	0	0.458142
1icj	0	0.466462
1moq	0	0.473562
1u30	1	0.497231
1ig3	1	0.498501
2br1	1	0.564982
1hw8	1	0.57785
1yvf	1	0.584792
1r58	1	0.618642
1js3	1	0.628178
1u4d	1	0.643008
1gkc	1	0.650272
1ke6	1	0.652257
1qmf	0	0.652989
1yqy	1	0.669766
1n2v	1	0.675791
1qhi	1	0.700165
1v4s	1	0.700189
1qpe	1	0.727998
2fb8	1	0.73931
1vbm	1	0.741489
2gh5	1	0.764253
1m17	1	0.766118
1j4i	1	0.788378
1xm6	1	0.790524
1rsz	1	0.795666
2ivu	1	0.804633
2i0e	1	0.822314
1o5r	1	0.833515
2dq7	1	0.887599
1c14	1	0.895701
1hvy	1	0.951056
2g24	1	0.956593
1ywr	1	0.962973
1hvr	1	0.967362
2bxr	1	0.998683
1kvo	1	1.00724
1k7f	1	1.0223
1sqi	1	1.02569
2hiw	1	1.07863
1ywn	1	1.08978
3d4s	1	1.10323
1e9x	1	1.12102
1udt	1	1.14483
1rv1	1	1.16464
4cox	1	1.18227
1m2z	1	1.20961
1gwr	1	1.28358
1r9o	1	1.33503
1k8q	1	1.34876
