Obs ID (Primary)	Obs ID (Category)	M12.YPredPS[1]($M12.DA(1))
1olq	0	-0.315124
1qs4	0	-0.237155
1rnt	0	-0.179109
1hqg	0	-0.0225104
1ai2	0	0.00144576
1nnc	0	0.0512779
1o8b	0	0.10221
1nlj	0	0.105945
1e+009	0	0.112149
1c9y	0	0.141602
1x9d	0	0.202036
1f9g	0	0.218763
2gyi	0	0.23656
1onz	0	0.269767
1jak	0	0.271594
1lpz	1	0.286208
1t03	0	0.293944
1ucn	0	0.301008
1cg0	0	0.31396
1gpu	0	0.367244
1gkc	1	0.369051
1icj	0	0.38915
1moq	0	0.399628
1fth	0	0.451205
3pcm	0	0.476336
1qxo	0	0.482668
1u30	1	0.514446
1g7v	0	0.523454
2gsu	0	0.537102
1qmf	0	0.551347
2gh5	1	0.565222
1kts	0	0.602384
1n2v	1	0.613906
2br1	1	0.624177
1ke6	1	0.641914
1r58	1	0.657383
1j4i	1	0.665616
1yqy	1	0.670219
2i0e	1	0.703391
1hw8	1	0.703622
1js3	1	0.703666
1u4d	1	0.707064
1c14	1	0.713544
1v4s	1	0.721259
1m17	1	0.749778
1rsz	1	0.777048
1qpe	1	0.778376
1qhi	1	0.78083
1vbm	1	0.781259
2ivu	1	0.829374
1hvy	1	0.841801
2dq7	1	0.842112
1yvf	1	0.8451
1o5r	1	0.865298
1xm6	1	0.87491
2fb8	1	0.894656
1hvr	1	0.898084
1ywr	1	0.916798
1sqi	1	0.964371
1e9x	1	0.976837
3d4s	1	0.985133
1kvo	1	0.989569
2g24	1	0.993752
2bxr	1	1.01453
1ywn	1	1.04117
1k7f	1	1.06381
1m2z	1	1.09344
2hiw	1	1.1116
1udt	1	1.15431
4cox	1	1.20773
1rv1	1	1.24073
1gwr	1	1.29033
1r9o	1	1.30771
1k8q	1	1.37998
