Obs ID (Primary)	Obs ID (Category)	M10.YPredPS[1]($M10.DA(1))	M10.YPredPSConfInt+[1]($M10.DA(1))	M10.YPredPSConfInt-[1]($M10.DA(1))
1ec9	0	-0.259619	-0.140932	-0.378306
1kc7	0	-0.207977	-0.100846	-0.315108
1od8	0	-0.143663	-0.00863011	-0.278697
1mai	0	-0.117844	-0.0476732	-0.188014
3jdw	0	0.177879	0.297693	0.0580653
1bmq	0	0.19805	0.234904	0.161196
1bls	0	0.201385	0.234234	0.168535
1g98	0	0.213184	0.304415	0.121954
1v16	0	0.325415	0.348009	0.302821
1wvc	0	0.377869	0.423227	0.332512
1b74	0	0.382068	0.501923	0.262214
1unl	1	0.411874	0.446761	0.376987
1r55	1	0.473342	0.538738	0.407946
1px4	0	0.51683	0.644773	0.388887
3ia4	1	0.529026	0.551928	0.506125
3etr	1	0.565012	0.658371	0.471653
1sqn	1	0.565228	0.750341	0.380114
1kzn	1	0.610458	0.673751	0.547166
1ajs	0	0.620432	0.71602	0.524844
1oq5	1	0.661508	0.742508	0.580508
1xoz	1	0.698599	0.763261	0.633936
1m0n	0	0.699628	0.722981	0.676275
1q41	1	0.709318	0.729536	0.6891
1fk9	1	0.747404	0.797661	0.697148
3f0r	1	0.754173	0.789864	0.718482
1pwm	1	0.75983	1.15726	0.362402
3b68	1	0.80049	0.956976	0.644003
2cl5	1	0.845547	1.12528	0.56581
1e66	1	0.858164	0.93556	0.780768
1pmn	1	0.876846	0.910221	0.843471
1lox	1	0.895403	1.06601	0.724797
2aa2	1	0.973046	1.0057	0.940387
1t46	1	0.98622	1.12248	0.849961
3f1q	1	1.13285	1.22872	1.03698
2i1m	1	1.19029	1.24521	1.13536
