Obs ID (Primary)	Obs ID (Category)	M4.YVarPS($M4.DA(1))	M4.YPredPS[1]($M4.DA(1))	M4.YVarPS($M4.DA(2))	M4.YPredPS[1]($M4.DA(2))
1b74	0	0	0.230533	1	0.769467
1bls	0	0	0.0854602	1	0.91454
1bmq	0	0	0.167885	1	0.832115
1e66	1	1	0.85587	0	0.14413
1ec9	0	0	-0.448192	1	1.44819
1fk9	1	1	0.927002	0	0.0729983
1g98	0	0	0.061622	1	0.938378
1kc7	0	0	-0.373483	1	1.37348
1kzn	1	1	0.677794	0	0.322206
1lox	1	1	1.04805	0	-0.048046
1m0n	0	0	0.71509	1	0.28491
1mai	0	0	-0.0445455	1	1.04455
1od8	0	0	-0.0172346	1	1.01723
1olq	0	0	-0.268405	1	1.2684
1oq5	1	1	0.764049	0	0.235951
1pmn	1	1	0.820149	0	0.179851
1pwm	1	1	0.89174	0	0.10826
1px4	0	0	0.510825	1	0.489175
1q41	1	1	0.579056	0	0.420944
1r55	1	1	0.474104	0	0.525896
1sqn	1	1	0.613006	0	0.386994
1t46	1	1	0.976041	0	0.0239588
1unl	1	1	0.371616	0	0.628384
1v16	0	0	0.338008	1	0.661992
1wvc	0	0	0.3958	1	0.6042
1xoz	1	1	0.624483	0	0.375517
2aa2	1	1	1.04663	0	-0.0466298
2cl5	1	1	0.786655	0	0.213345
2i1m	1	1	1.14169	0	-0.141691
3b68	1	1	0.916562	0	0.0834379
3etr	1	1	0.712038	0	0.287962
3f0r	1	1	0.858421	0	0.141579
3f1q	1	1	1.23366	0	-0.233661
3ia4	1	1	0.501681	0	0.498319
3jdw	0	0	0.203723	1	0.796277
