Obs ID (Primary)	Obs ID (Category)	M3.YVarPS($M3.DA(1))	M3.YPredPS[1]($M3.DA(1))	M3.YVarPS($M3.DA(2))	M3.YPredPS[1]($M3.DA(2))
1b74	0	0	0.272228	1	0.727772
1bls	0	0	0.0865334	1	0.913467
1bmq	0	0	0.189739	1	0.810261
1e66	1	1	0.778313	0	0.221687
1ec9	0	0	-0.36664	1	1.36664
1fk9	1	1	0.896465	0	0.103535
1g98	0	0	0.051272	1	0.948728
1kc7	0	0	-0.286474	1	1.28647
1kzn	1	1	0.730405	0	0.269595
1lox	1	1	1.11985	0	-0.119852
1m0n	0	0	0.788199	1	0.211801
1mai	0	0	-0.00765681	1	1.00766
1od8	0	0	-0.0847385	1	1.08474
1olq	0	0	-0.191811	1	1.19181
1oq5	1	1	0.799919	0	0.200081
1pmn	1	1	0.850121	0	0.149879
1pwm	1	1	0.899743	0	0.100257
1px4	0	0	0.428543	1	0.571457
1q41	1	1	0.660751	0	0.339249
1r55	1	1	0.563028	0	0.436972
1sqn	1	1	0.698872	0	0.301128
1t46	1	1	0.975203	0	0.024797
1unl	1	1	0.477247	0	0.522753
1v16	0	0	0.330835	1	0.669165
1wvc	0	0	0.360946	1	0.639054
1xoz	1	1	0.678164	0	0.321836
2aa2	1	1	1.02936	0	-0.0293607
2cl5	1	1	0.969351	0	0.0306491
2i1m	1	1	1.09676	0	-0.0967621
3b68	1	1	0.955394	0	0.0446057
3etr	1	1	0.730415	0	0.269585
3f0r	1	1	0.810172	0	0.189828
3f1q	1	1	1.28027	0	-0.280275
3ia4	1	1	0.597712	0	0.402288
3jdw	0	0	0.227911	1	0.772089
