Obs ID (Primary)	Obs ID (Category)	M1.YVarPS($M1.DA(1))	M1.YPredPS[1]($M1.DA(1))	M1.YVarPS($M1.DA(2))	M1.YPredPS[1]($M1.DA(2))
1b74	0	0	0.279673	1	0.720327
1bls	0	0	0.0846499	1	0.91535
1bmq	0	0	0.191635	1	0.808365
1e66	1	1	0.792002	0	0.207998
1ec9	0	0	-0.339273	1	1.33927
1fk9	1	1	0.90361	0	0.0963901
1g98	0	0	0.0713903	1	0.92861
1kc7	0	0	-0.270568	1	1.27057
1kzn	1	1	0.730749	0	0.269251
1lox	1	1	1.13497	0	-0.134969
1m0n	0	0	0.783335	1	0.216665
1mai	0	0	-0.0111842	1	1.01118
1od8	0	0	-0.0947219	1	1.09472
1olq	0	0	-0.175747	1	1.17575
1oq5	1	1	0.806819	0	0.193181
1pmn	1	1	0.847856	0	0.152144
1pwm	1	1	0.818593	0	0.181407
1px4	0	0	0.414866	1	0.585134
1q41	1	1	0.656765	0	0.343235
1r55	1	1	0.543685	0	0.456314
1sqn	1	1	0.729062	0	0.270938
1t46	1	1	0.949768	0	0.0502322
1unl	1	1	0.476181	0	0.523819
1v16	0	0	0.332624	1	0.667376
1wvc	0	0	0.36343	1	0.63657
1xoz	1	1	0.664915	0	0.335085
2aa2	1	1	1.02916	0	-0.0291596
2cl5	1	1	0.998923	0	0.00107741
2i1m	1	1	1.10044	0	-0.10044
3b68	1	1	0.984309	0	0.015691
3etr	1	1	0.741322	0	0.258678
3f0r	1	1	0.801892	0	0.198108
3f1q	1	1	1.28545	0	-0.285454
3ia4	1	1	0.596402	0	0.403598
3jdw	0	0	0.253293	1	0.746707
