Obs ID (Primary)	Obs ID (Category)	M9.YVarPS($M9.DA(0))	M9.YPredPS[1]($M9.DA(0))	M9.YVarPS($M9.DA(1))	M9.YPredPS[1]($M9.DA(1))
1ai2	0	2.36493e-008	0.0630494	1	0.936951
1c14	1	1	0.963847	4.43424e-009	0.0361525
1c9y	0	2.36493e-008	0.0870898	1	0.91291
1cg0	0	2.36493e-008	0.241635	1	0.758365
1e+009	0	2.36493e-008	0.173357	1	0.826643
1e9x	1	1	1.09421	4.43424e-009	-0.0942052
1f9g	0	2.36493e-008	0.377188	1	0.622812
1fth	0	2.36493e-008	0.459339	1	0.540661
1g7v	0	2.36493e-008	0.434477	1	0.565523
1gkc	1	1	0.709733	4.43424e-009	0.290267
1gpu	0	2.36493e-008	0.300977	1	0.699023
1gwr	1	1	1.15879	4.43424e-009	-0.158791
1hqg	0	2.36493e-008	-0.0738012	1	1.0738
1hvr	1	1	0.954626	4.43424e-009	0.0453743
1hvy	1	1	0.973932	4.43424e-009	0.026068
1hw8	1	1	0.57067	4.43424e-009	0.42933
1icj	0	2.36493e-008	0.591099	1	0.408901
1ig3	1	1	0.500552	4.43424e-009	0.499448
1j4i	1	1	0.857366	4.43424e-009	0.142634
1jak	0	2.36493e-008	0.277102	1	0.722898
1js3	1	1	0.654125	4.43424e-009	0.345875
1k7f	1	1	1.01119	4.43424e-009	-0.0111892
1k8q	1	1	1.30667	4.43424e-009	-0.306669
1ke6	1	1	0.682156	4.43424e-009	0.317844
1kts	0	2.36493e-008	0.522707	1	0.477293
1kvo	1	1	1.074	4.43424e-009	-0.0740048
1lpz	1	1	0.390411	4.43424e-009	0.609589
1m17	1	1	0.825475	4.43424e-009	0.174525
1m2z	1	1	1.06642	4.43424e-009	-0.0664236
1moq	0	2.36493e-008	0.47252	1	0.52748
1n2v	1	1	0.676095	4.43424e-009	0.323905
1nlj	0	2.36493e-008	0.468343	1	0.531657
1nnc	0	2.36493e-008	0.0126612	1	0.987339
1o5r	1	1	0.820925	4.43424e-009	0.179075
1o8b	0	2.36493e-008	0.215594	1	0.784406
1olq	0	2.36493e-008	-0.351626	1	1.35163
1onz	0	2.36493e-008	0.202799	1	0.797201
1qhi	1	1	0.508837	4.43424e-009	0.491163
1qmf	0	2.36493e-008	0.683363	1	0.316637
1qpe	1	1	0.729309	4.43424e-009	0.27069
1qs4	0	2.36493e-008	-0.11558	1	1.11558
1qxo	0	2.36493e-008	0.449561	1	0.550439
1r58	1	1	0.620771	4.43424e-009	0.379229
1r9o	1	1	1.27637	4.43424e-009	-0.276367
1rnt	0	2.36493e-008	-0.0347373	1	1.03474
1rsz	1	1	0.832292	4.43424e-009	0.167708
1rv1	1	1	1.24929	4.43424e-009	-0.249289
1rwq	1	1	0.34051	4.43424e-009	0.65949
1sqi	1	1	1.07291	4.43424e-009	-0.0729106
1t03	0	2.36493e-008	0.188704	1	0.811296
1u30	1	1	0.522158	4.43424e-009	0.477842
1u4d	1	1	0.63819	4.43424e-009	0.36181
1ucn	0	2.36493e-008	0.4317	1	0.5683
1udt	1	1	1.1037	4.43424e-009	-0.103705
1v4s	1	1	0.743295	4.43424e-009	0.256705
1vbm	1	1	0.711801	4.43424e-009	0.288199
1x9d	0	2.36493e-008	0.3694	1	0.6306
1xm6	1	1	0.652764	4.43424e-009	0.347236
1yqy	1	1	0.714714	4.43424e-009	0.285286
1yvf	1	1	0.540694	4.43424e-009	0.459306
1ywn	1	1	1.20608	4.43424e-009	-0.206082
1ywr	1	1	0.978411	4.43424e-009	0.0215886
2br1	1	1	0.542913	4.43424e-009	0.457087
2bxr	1	1	0.885409	4.43424e-009	0.114591
2dq7	1	1	0.923772	4.43424e-009	0.0762283
2fb8	1	1	0.728467	4.43424e-009	0.271533
2g24	1	1	0.994556	4.43424e-009	0.00544353
2gh5	1	1	0.788615	4.43424e-009	0.211385
2gsu	0	2.36493e-008	0.367684	1	0.632316
2gyi	0	2.36493e-008	0.198561	1	0.801439
2hiw	1	1	1.15579	4.43424e-009	-0.155788
2i0e	1	1	0.775544	4.43424e-009	0.224456
2ivu	1	1	0.826112	4.43424e-009	0.173888
3d4s	1	1	1.04373	4.43424e-009	-0.0437281
3pcm	0	2.36493e-008	0.450434	1	0.549566
4cox	1	1	1.1382	4.43424e-009	-0.138196
