Obs ID (Primary)	Obs ID (Category)	M9.YVarPS($M9.DA(0))	M9.YPredPS[1]($M9.DA(0))	M9.YVarPS($M9.DA(1))	M9.YPredPS[1]($M9.DA(1))
1ajs	0	2.36493e-008	0.492152	0	0.507848
1b74	0	2.36493e-008	0.41114	0	0.58886
1bls	0	2.36493e-008	0.337339	0	0.662661
1bmq	0	2.36493e-008	0.378454	0	0.621545
1e66	1	2.36493e-008	0.812812	1	0.187188
1ec9	0	2.36493e-008	-0.31183	0	1.31183
1fk9	1	2.36493e-008	0.786382	1	0.213618
1g98	0	2.36493e-008	0.0852576	0	0.914742
1kc7	0	2.36493e-008	0.00367352	0	0.996326
1kzn	1	2.36493e-008	0.804986	1	0.195014
1lox	1	2.36493e-008	1.15323	1	-0.153233
1m0n	0	2.36493e-008	0.500761	0	0.499239
1mai	0	2.36493e-008	0.0917091	0	0.908291
1od8	0	2.36493e-008	0.0575416	0	0.942458
1oq5	1	2.36493e-008	0.764883	1	0.235117
1owe	1	2.36493e-008	0.394977	1	0.605023
1pmn	1	2.36493e-008	0.932626	1	0.0673737
1pwm	1	2.36493e-008	0.938675	1	0.0613247
1px4	0	2.36493e-008	0.55002	0	0.449979
1q41	1	2.36493e-008	0.553196	1	0.446804
1r55	1	2.36493e-008	0.692551	1	0.307449
1sqn	1	2.36493e-008	1.11534	1	-0.115345
1t46	1	2.36493e-008	1.16614	1	-0.166142
1unl	1	2.36493e-008	0.564227	1	0.435773
1uou	1	2.36493e-008	0.284881	1	0.715119
1v16	0	2.36493e-008	0.405947	0	0.594053
1wvc	0	2.36493e-008	0.651494	0	0.348506
1xoz	1	2.36493e-008	1.14143	1	-0.141431
2aa2	1	2.36493e-008	1.0199	1	-0.0199019
2cl5	1	2.36493e-008	0.814931	1	0.185069
2i1m	1	2.36493e-008	0.735223	1	0.264777
3b68	1	2.36493e-008	1.12659	1	-0.126588
3etr	1	2.36493e-008	0.849518	1	0.150482
3f0r	1	2.36493e-008	0.894419	1	0.105581
3f1q	1	2.36493e-008	1.14743	1	-0.147431
3ia4	1	2.36493e-008	0.791819	1	0.208181
3jdw	0	2.36493e-008	0.168823	0	0.831177
