Obs ID (Primary)	M1.YPredPS[1]($M1.DA(1))
1qs4	-0.119625
1olq	-0.0999768
1hqg	-0.0824613
1rnt	-0.00898299
1nnc	-0.00782116
1c9y	0.0205277
1jak	0.136183
1t03	0.14044
1ai2	0.151672
2gyi	0.193235
1e+009	0.194718
1cg0	0.204695
1o8b	0.24384
1rwq	0.304086
1f9g	0.309901
1lpz	0.312978
1onz	0.315107
1x9d	0.334101
1nlj	0.359533
1qxo	0.41828
1ucn	0.418597
3pcm	0.425791
2gsu	0.457336
1gpu	0.458688
1hw8	0.470688
2gh5	0.475863
1gkc	0.509149
1moq	0.555363
1ig3	0.574531
1u30	0.575172
1yvf	0.582172
1icj	0.604763
1yqy	0.612359
1qhi	0.614706
1qmf	0.622382
2br1	0.629325
1r58	0.669691
1n2v	0.672395
1fth	0.673228
2i0e	0.692052
1js3	0.693314
1xm6	0.701776
1kts	0.725782
1u4d	0.749904
1j4i	0.754616
1m17	0.757143
1v4s	0.777053
1ke6	0.777169
2ivu	0.798289
1rsz	0.807452
2fb8	0.810096
1qpe	0.810429
1hvy	0.815308
1g7v	0.846324
2bxr	0.85004
2dq7	0.860762
1vbm	0.862225
1c14	0.887548
1hvr	0.893163
1o5r	0.905015
1ywr	0.936762
3d4s	0.937822
1kvo	0.952059
1m2z	1.01724
2g24	1.01912
1e9x	1.03519
1k7f	1.0372
1udt	1.03956
1sqi	1.0567
2hiw	1.07354
1ywn	1.08376
1rv1	1.1128
4cox	1.18875
1r9o	1.24641
1gwr	1.27214
1k8q	1.29285
