Obs ID (Primary)	Obs ID (Category)	M6.YPredPS[2]($M6.DA(1))
1rnt	0	-0.222724
1qs4	0	-0.126455
1hqg	0	0.0155732
1nnc	0	0.0568292
2gyi	0	0.0905691
1c9y	0	0.0947679
1ai2	0	0.105526
1jak	0	0.118595
1e+009	0	0.131699
1ucn	0	0.140997
1olq	0	0.161733
1o8b	0	0.197628
1nlj	0	0.20871
1x9d	0	0.225302
1f9g	0	0.232079
1rwq	1	0.238918
1onz	0	0.312757
1t03	0	0.316602
1cg0	0	0.324698
1lpz	1	0.32798
3pcm	0	0.341999
1gkc	1	0.405222
1gpu	0	0.418525
1icj	0	0.431412
2gsu	0	0.440194
1qxo	0	0.467415
1fth	0	0.477495
1u30	1	0.478206
1g7v	0	0.493694
1moq	0	0.509889
1kts	0	0.553834
1qhi	1	0.58238
2br1	1	0.585028
1qmf	0	0.590032
2gh5	1	0.593091
1yqy	1	0.613092
1js3	1	0.624089
1ke6	1	0.635351
1r58	1	0.635975
1ig3	1	0.666957
1hw8	1	0.691757
1j4i	1	0.693832
2i0e	1	0.705603
1m17	1	0.730629
1v4s	1	0.731539
1u4d	1	0.731885
1c14	1	0.733732
1n2v	1	0.747108
1rsz	1	0.778701
1qpe	1	0.822731
1hvy	1	0.835036
2ivu	1	0.840388
1o5r	1	0.854641
2dq7	1	0.879051
1xm6	1	0.879086
1vbm	1	0.892035
1yvf	1	0.893661
2fb8	1	0.929748
1hvr	1	0.975586
1e9x	1	0.977516
1ywr	1	0.993574
1kvo	1	0.994985
1sqi	1	0.997552
3d4s	1	1.0047
2g24	1	1.03907
1ywn	1	1.08459
2bxr	1	1.11697
2hiw	1	1.12878
1k7f	1	1.12962
1m2z	1	1.13863
1udt	1	1.207
1rv1	1	1.22284
4cox	1	1.23346
1r9o	1	1.24881
1gwr	1	1.28404
1k8q	1	1.35545
