Obs ID (Primary)	Obs ID (Category)	M10.YPredPS[1]($M10.DA(1))
1qs4	0	-0.1994
1rnt	0	-0.161777
2gyi	0	-0.0629146
1olq	0	-0.0343466
1c9y	0	-0.0293606
1hqg	0	-0.00792689
1nnc	0	0.0449534
1jak	0	0.070739
1ai2	0	0.101906
1cg0	0	0.147443
1o8b	0	0.148313
1e+009	0	0.161114
1x9d	0	0.177147
1nlj	0	0.206329
1onz	0	0.273943
1t03	0	0.325569
1ucn	0	0.330449
1gkc	1	0.364289
1gpu	0	0.381712
1lpz	1	0.382968
1f9g	0	0.389188
3pcm	0	0.401368
1moq	0	0.425058
1qhi	1	0.430726
1u30	1	0.504829
1fth	0	0.511108
2gsu	0	0.539171
2br1	1	0.543859
1g7v	0	0.552296
1icj	0	0.55331
1j4i	1	0.560429
2gh5	1	0.578653
1qxo	0	0.585258
2i0e	1	0.608231
1hw8	1	0.626736
1qmf	0	0.635377
1r58	1	0.64886
1ke6	1	0.655506
1js3	1	0.662469
1c14	1	0.701695
1n2v	1	0.710197
1kts	0	0.717188
1yqy	1	0.760765
1u4d	1	0.762965
1qpe	1	0.768221
1m17	1	0.768537
1v4s	1	0.779437
1rsz	1	0.790681
1xm6	1	0.791741
1e9x	1	0.862436
1hvy	1	0.863651
1o5r	1	0.875145
2ivu	1	0.880441
1m2z	1	0.890292
1yvf	1	0.892537
3d4s	1	0.898342
1hvr	1	0.902306
1vbm	1	0.907824
2dq7	1	0.908269
1ywr	1	0.928603
2fb8	1	0.933443
2bxr	1	0.961422
1gwr	1	1.02523
1sqi	1	1.02891
2g24	1	1.07148
1k7f	1	1.07703
1kvo	1	1.07869
4cox	1	1.1058
1r9o	1	1.14139
1ywn	1	1.1719
1udt	1	1.17496
1k8q	1	1.22657
2hiw	1	1.28295
1rv1	1	1.32537
