Obs ID (Primary)	Obs ID (Category)	M3.YPredPS[1]($M3.DA(1))
1ai2	0	0.00585278
1ajs	0	0.568263
1c14	1	0.819485
1c9y	0	-0.0601281
1cg0	0	0.14222
1e+009	0	0.102361
1e9x	1	0.976929
1f9g	0	0.209269
1fth	0	0.417047
1g7v	0	0.479908
1gkc	1	0.46964
1gpu	0	0.388217
1gwr	1	1.29661
1hqg	0	-0.163028
1hvr	1	0.900886
1hvy	1	0.83205
1hw8	1	0.755024
1icj	0	0.623228
1j4i	1	0.781446
1jak	0	0.210757
1js3	1	0.676091
1k7f	1	1.06002
1k8q	1	1.34149
1ke6	1	0.657412
1kts	0	0.75237
1kvo	1	0.96927
1lpz	1	0.292632
1m17	1	0.8488
1m2z	1	1.02739
1moq	0	0.498571
1n2v	1	0.595952
1nlj	0	0.233098
1nnc	0	-0.0710323
1o5r	1	0.852301
1o8b	0	0.161244
1onz	0	0.270434
1qhi	1	0.612154
1qmf	0	0.581276
1qpe	1	0.770977
1qs4	0	-0.239645
1qxo	0	0.385714
1r58	1	0.624448
1r9o	1	1.22152
1rnt	0	-0.129422
1rsz	1	0.84946
1rv1	1	1.30716
1sqi	1	1.00713
1t03	0	0.460318
1u30	1	0.527624
1u4d	1	0.695117
1ucn	0	0.334488
1udt	1	1.05712
1v4s	1	0.7759
1vbm	1	0.769978
1x70	1	0.474112
1x9d	0	0.200778
1xm6	1	0.673359
1yqy	1	0.627624
1yvf	1	0.834316
1ywn	1	1.12616
1ywr	1	0.970006
2br1	1	0.66104
2bxr	1	0.862077
2dq7	1	0.828588
2fb8	1	0.908354
2g24	1	1.01351
2gh5	1	0.62015
2gsu	0	0.442514
2gyi	0	0.111159
2hiw	1	1.12479
2i0e	1	0.635511
2ivu	1	0.874273
3d4s	1	0.874494
3pcm	0	0.404894
4cox	1	1.19889
