Obs ID (Primary)	Obs ID (Category)	M12.YPredPS[1]($M12.DA(1))	M12.YPredPSConfInt+[1]($M12.DA(1))	M12.YPredPSConfInt-[1]($M12.DA(1))
1kc7	0	-0.371595	-0.240085	-0.503106
1mai	0	-0.119933	-0.0383331	-0.201532
1ec9	0	-0.106927	0.0926807	-0.306534
1od8	0	-0.0804852	0.00307661	-0.164047
1bls	0	0.0887159	0.143686	0.0337458
1bmq	0	0.165493	0.222045	0.10894
1g98	0	0.257429	0.374984	0.139874
1b74	0	0.262978	0.343363	0.182592
1v16	0	0.348001	0.38407	0.311932
1r55	1	0.364088	0.430859	0.297318
1wvc	0	0.400532	0.44906	0.352004
1unl	1	0.401644	0.437503	0.365785
3jdw	0	0.427475	0.5839	0.27105
1px4	0	0.469497	0.554319	0.384675
3ia4	1	0.516621	0.535347	0.497895
1xoz	1	0.568984	0.635634	0.502334
1q41	1	0.592373	0.624559	0.560186
1pwm	1	0.592796	0.898987	0.286605
1kzn	1	0.641188	0.690602	0.591774
1m0n	0	0.670859	0.697643	0.644075
1ajs	0	0.674877	0.756886	0.592869
3etr	1	0.735354	0.822513	0.648194
1oq5	1	0.764512	0.8304	0.698624
3f0r	1	0.783047	0.826925	0.73917
1pmn	1	0.801874	0.832366	0.771382
1sqn	1	0.854389	1.03407	0.674709
1t46	1	0.869097	1.00196	0.736232
1fk9	1	0.925132	0.982411	0.867853
1e66	1	0.931297	0.989677	0.872916
2cl5	1	1.00025	1.20064	0.799867
2aa2	1	1.02681	1.0756	0.978024
1lox	1	1.07296	1.20051	0.945415
3b68	1	1.10123	1.25075	0.951719
2i1m	1	1.14623	1.2228	1.06967
3f1q	1	1.20661	1.28392	1.1293
