"id","lig","csa","hsa_t","psa_r","hiaa","haa","dsasa","fsasa","score","prediction"
"1ai2","",463.998,207.562,0.552666,-1.11111,0.111111,350.564,0.536705,85.2191,"druggable"
"1ajs","",691.975,386.584,0.441332,-0.169767,0.348837,131.869,0.834923,139.222,"druggable"
"1b74","",409.875,187.576,0.542359,0.386207,0.275862,226.28,0.632546,76.4356,"druggable"
"1bls","",490.116,213.396,0.5646,-0.748571,0.171429,314.569,0.589541,89.1163,"druggable"
"1bmq","",445.98,223.773,0.498244,-0.731818,0.227273,279.451,0.591454,85.9509,"druggable"
"1c14","",651.971,430.752,0.339308,0.358621,0.448276,362.659,0.635312,142.047,"druggable"
"1c9y","",369.946,168.416,0.544755,-1.61667,0.166667,62.6058,0.859742,68.5128,"druggable"
"1cg0","",301.393,161.306,0.464799,-0.518519,0.185185,75.6878,0.80338,60.096,"druggable"
"1d09","",598.494,274.587,0.541203,-1.48182,0.181818,342.938,0.623133,110.674,"druggable"
"1e66","",819.56,537.93,0.343636,0.0255814,0.27907,176.084,0.812826,177.519,"druggable"
"1e9x","",703.967,496.456,0.294774,0.5375,0.5,176.645,0.791313,158.339,"druggable"
"1ec9","",210.5,68.467,0.67474,-1.93182,0.136364,13.5363,0.942368,34.8797,"druggable"
"1f9g","",939.355,396.706,0.577682,-1.64082,0.163265,505.093,0.621323,167.661,"druggable"
"1fk9","",693.027,528.185,0.237857,-0.0828571,0.371429,243.825,0.728328,162.058,"druggable"
"1fth","",752.759,405.186,0.461732,-0.717949,0.205128,374.537,0.645399,148.728,"druggable"
"1g7v","",892.441,485.543,0.455939,-1.29231,0.25641,325.656,0.702244,176.836,"druggable"
"1g98","",500.285,217.193,0.565863,-0.947059,0.147059,95.2769,0.830705,90.7931,"druggable"
"1gkc","",512.678,295.449,0.423714,-0.37037,0.37037,320.818,0.601212,104.882,"druggable"
"1gpu","",552.45,306.813,0.444632,-0.45,0.266667,310.088,0.617819,111.03,"druggable"
"1gwr","",564.303,446.283,0.209143,1.79231,0.730769,29.3125,0.948387,135.292,"druggable"
"1hqg","",514.089,202.531,0.606038,-1.89375,0.0625,214.684,0.701578,89.7307,"druggable"
"1hvr","",796.805,507.327,0.363299,0.505,0.45,239.882,0.754426,170.258,"druggable"
"1hvy","",930.667,590.923,0.365054,-0.323077,0.358974,336.055,0.711787,198.156,"druggable"
"1hw8","",624.108,415.362,0.334471,0.037046,0.42615,266.336,0.68564,136.445,"druggable"
"1icj","",756.103,404.469,0.46506,-0.283366,0.445545,612.544,0.517671,149.129,"druggable"
"1ig3","",1116.15,544.509,0.512154,-0.833333,0.1875,453.474,0.690181,210.953,"druggable"
"1j4i","",405.516,291.862,0.280269,0.844444,0.444444,268.736,0.599959,92.8323,"druggable"
"1jak","",417.557,259.38,0.378815,-1.50909,0.181818,219.083,0.666158,88.3642,"druggable"
"1js3","",780.551,514.493,0.340859,-0.531429,0.257143,384.491,0.661787,169.351,"druggable"
"1k7f","",913.702,616.78,0.324966,0.574419,0.465116,249.589,0.762621,200.656,"druggable"
