Obs ID (Primary)	M1.YPredPS[1]($M1.DA(1))	M1.YPredPSConfInt+[1]($M1.DA(1))	M1.YPredPSConfInt-[1]($M1.DA(1))
1ec9	-0.263185	-0.188568	-0.337802
1kc7	-0.200532	-0.123426	-0.277639
1od8	-0.0303921	0.0333894	-0.0941735
1mai	0.0875529	0.143556	0.0315501
1g98	0.144358	0.183582	0.105135
1bls	0.200092	0.237343	0.162842
3jdw	0.283872	0.327099	0.240645
1uou	0.284238	0.320103	0.248373
1bmq	0.302102	0.341341	0.262864
1owe	0.331656	0.37159	0.291722
1v16	0.356239	0.383401	0.329078
1m0n	0.451395	0.469083	0.433707
1px4	0.458844	0.504568	0.41312
1wvc	0.520398	0.544125	0.49667
1unl	0.571839	0.581746	0.561932
1ajs	0.587284	0.600007	0.574562
1b74	0.594036	0.681068	0.507005
2i1m	0.650272	0.683664	0.61688
1r55	0.672234	0.71933	0.625138
1oq5	0.724904	0.762794	0.687013
3etr	0.732639	0.783531	0.681748
1kzn	0.758637	0.807223	0.71005
1e66	0.791826	0.808649	0.775004
3ia4	0.792464	0.81603	0.768898
3f0r	0.828816	0.846371	0.811262
2cl5	0.838174	0.913596	0.762752
1pmn	0.850726	0.871831	0.829622
1fk9	0.885749	0.922969	0.848528
1pwm	0.922011	0.959763	0.884259
3f1q	0.939468	0.966298	0.912638
1q41	0.955964	0.983344	0.928584
2aa2	0.992354	1.09673	0.887982
3b68	1.06202	1.12764	0.996392
1sqn	1.06755	1.17168	0.963428
1xoz	1.07436	1.11528	1.03343
1t46	1.0953	1.14664	1.04396
1lox	1.10164	1.17537	1.02791
