Obs ID (Primary)	Obs ID (Category)	M1.YPredPS[1]($M1.DA(0))	M1.YPredPSConfInt+[1]($M1.DA(0))	M1.YPredPSConfInt-[1]($M1.DA(0))
1ec9	0	-0.0500024	0.0769152	-0.17692
1kc7	0	-0.0459803	0.0533122	-0.145273
1od8	0	-0.0031272	0.105873	-0.112128
1mai	0	0.00996038	0.113263	-0.0933418
1g98	0	0.237856	0.321954	0.153758
1bls	0	0.307016	0.356779	0.257254
1bmq	0	0.348799	0.3997	0.297899
3jdw	0	0.353999	0.430706	0.277291
1owe	1	0.357415	0.420774	0.294055
1v16	0	0.403638	0.437569	0.369707
1b74	0	0.407066	0.439111	0.375021
1uou	1	0.479946	0.551034	0.408858
1m0n	0	0.480512	0.508755	0.452269
1px4	0	0.513207	0.554416	0.471998
1q41	1	0.561919	0.583439	0.540399
1unl	1	0.564069	0.574627	0.553511
1r55	1	0.572915	0.665112	0.480718
1ajs	0	0.605114	0.658143	0.552085
1wvc	0	0.625038	0.629848	0.620229
1pwm	1	0.69103	0.850475	0.531586
1kzn	1	0.75728	0.811278	0.703282
1oq5	1	0.76184	0.800402	0.723278
3ia4	1	0.771552	0.804769	0.738335
2i1m	1	0.781317	0.821098	0.741536
1fk9	1	0.799743	0.83033	0.769156
3f0r	1	0.829004	0.862129	0.79588
3etr	1	0.85316	0.911362	0.794958
1e66	1	0.878528	0.935032	0.822024
1pmn	1	0.902868	0.952477	0.853258
2cl5	1	0.978809	1.1267	0.830921
2aa2	1	1.00963	1.105	0.914261
1xoz	1	1.04294	1.1122	0.973686
1t46	1	1.06139	1.13712	0.985653
3f1q	1	1.13299	1.21798	1.04801
1lox	1	1.16031	1.26413	1.0565
3b68	1	1.26144	1.39661	1.12627
1sqn	1	1.26473	1.40592	1.12354
