Obs ID (Primary)	Obs ID (id)	M12.YPredPS[1]($M12.DA(1))	M12.YPredPSConfInt+[1]($M12.DA(1))	M12.YPredPSConfInt-[1]($M12.DA(1))
1od8(22)	192	-0.0856327	0.0518166	-0.223082
1ec9(22)	104	-0.0663832	0.108707	-0.241474
1kc7(22)	160	-0.0100778	0.175573	-0.195729
1mai(22)	177	0.13485	0.271934	-0.00223356
1g98(22)	137	0.25846	0.344827	0.172093
3jdw(22)	456	0.301777	0.409226	0.194327
1bls(22)	46	0.304561	0.394043	0.215078
1v16(22)	308	0.342238	0.419808	0.264669
1px4(22)	233	0.347719	0.383425	0.312012
1bmq(22)	60	0.376307	0.473029	0.279584
1owe(22)	224	0.389018	0.425356	0.352679
1uou(22)	292	0.389139	0.470278	0.308001
1m0n(22)	174	0.394701	0.440022	0.34938
1wvc(22)	329	0.4708	0.493397	0.448203
1unl(22)	287	0.485799	0.522973	0.448625
2cl5(22)	364	0.545132	0.618696	0.471568
2i1m(22)	383	0.575662	0.597829	0.553496
1ajs(22)	18	0.594809	0.63187	0.557748
1e66(22)	71	0.594912	0.604893	0.584932
1b74(22)	36	0.615622	0.741549	0.489695
1oq5(22)	223	0.648647	0.705873	0.591421
1fk9(22)	119	0.654002	0.688132	0.619872
3etr(22)	391	0.656885	0.72813	0.585641
3f0r(22)	393	0.657819	0.666956	0.648682
1kzn(22)	172	0.73812	0.801434	0.674806
3f1q(22)	407	0.738873	0.752899	0.724847
1r55(22)	244	0.751586	0.818457	0.684714
3ia4(22)	450	0.761615	0.790657	0.732573
1xoz(22)	336	0.766925	0.794232	0.739619
1q41(22)	238	0.770056	0.789509	0.750602
1pwm(22)	232	0.780863	0.824762	0.736964
1pmn(22)	231	0.784372	0.804225	0.764518
3d4s(22)	389	0.812885	0.835519	0.790251
1t46(22)	257	0.90208	0.974722	0.829439
1lox(22)	173	0.961564	1.02453	0.898596
3b68(22)	384	1.01599	1.07532	0.95666
2aa2(22)	343	1.15115	1.25252	1.04978
1sqn(22)	247	1.16088	1.25861	1.06314
