Obs ID (Primary)	Obs ID (Category)	M6.YPredPS[2]($M6.DA(1))	M6.YPredPSConfInt+[2]($M6.DA(1))	M6.YPredPSConfInt-[2]($M6.DA(1))
1od8	0	-0.202609	-0.0421519	-0.363065
1ec9	0	-0.103659	0.139379	-0.346696
1mai	0	-0.1028	-0.0488222	-0.156779
1kc7	0	-0.0611275	0.167275	-0.28953
1bls	0	0.234588	0.288779	0.180398
1bmq	0	0.252693	0.331036	0.174349
3jdw	0	0.330633	0.574805	0.0864621
1g98	0	0.335278	0.524257	0.1463
1v16	0	0.356217	0.387179	0.325255
1pwm	1	0.375359	1.10539	-0.354677
1px4	0	0.414602	0.631066	0.198137
1wvc	0	0.443053	0.544184	0.341923
1r55	1	0.454262	0.585195	0.32333
1unl	1	0.460089	0.54237	0.377808
1owe	1	0.463462	0.62159	0.305334
1b74	0	0.518384	0.758863	0.277904
1uou	1	0.561683	0.848067	0.275299
3ia4	1	0.562897	0.617136	0.508657
1xoz	1	0.646196	0.76545	0.526941
3etr	1	0.672473	0.847795	0.497152
1kzn	1	0.677614	0.798466	0.556762
1q41	1	0.70148	0.738889	0.664071
1m0n	0	0.714312	0.758329	0.670296
3f0r	1	0.728075	0.795936	0.660214
1ajs	0	0.730255	0.907245	0.553266
1oq5	1	0.749644	0.895494	0.603793
1sqn	1	0.766083	1.10737	0.424795
1fk9	1	0.803194	0.887579	0.71881
1t46	1	0.848317	1.11218	0.584455
1pmn	1	0.896093	0.934221	0.857966
1e66	1	0.934057	1.06072	0.807394
2aa2	1	0.95224	1.02224	0.882242
3b68	1	0.959121	1.23473	0.683508
1lox	1	1.05468	1.34047	0.768893
2cl5	1	1.11609	1.60381	0.628378
2i1m	1	1.15737	1.27314	1.04161
3f1q	1	1.19988	1.32359	1.07617
