Obs ID (Primary)	Obs ID (Category)	M13.YPredPS[1]($M13.DA(1))	M13.YPredPSConfInt+[1]($M13.DA(1))	M13.YPredPSConfInt-[1]($M13.DA(1))
1kc7	0	-0.395311	-0.302406	-0.488216
1ec9	0	-0.145443	-0.0193067	-0.271579
1mai	0	-0.117572	-0.0466062	-0.188538
1od8	0	-0.0700107	0.00481397	-0.144835
1bls	0	0.0894073	0.137718	0.0410962
1bmq	0	0.161688	0.205629	0.117747
1g98	0	0.229803	0.293995	0.165611
1b74	0	0.252351	0.306621	0.198081
1v16	0	0.344905	0.372999	0.316811
1r55	1	0.38893	0.429227	0.348633
3jdw	0	0.393737	0.476955	0.310519
1wvc	0	0.396672	0.433674	0.359671
1unl	1	0.402711	0.434823	0.370598
1px4	0	0.486715	0.542767	0.430662
3ia4	1	0.518456	0.537345	0.499568
1xoz	1	0.586484	0.616865	0.556103
1q41	1	0.597907	0.620885	0.574929
1kzn	1	0.641393	0.69171	0.591076
1ajs	0	0.652326	0.687021	0.61763
1m0n	0	0.677971	0.701645	0.654297
1pwm	1	0.698459	0.777122	0.619795
3etr	1	0.722025	0.787659	0.65639
1oq5	1	0.756579	0.81279	0.700367
3f0r	1	0.794714	0.821513	0.767915
1pmn	1	0.805929	0.831479	0.780379
1sqn	1	0.816217	0.918823	0.713612
1t46	1	0.903431	0.961422	0.84544
1e66	1	0.914682	0.947528	0.881836
1fk9	1	0.917301	0.967256	0.867347
2cl5	1	0.963812	1.09943	0.828199
2aa2	1	1.02893	1.06767	0.990183
1lox	1	1.05565	1.1638	0.947508
3b68	1	1.06567	1.15028	0.981069
2i1m	1	1.14365	1.21083	1.07647
3f1q	1	1.2027	1.27974	1.12565
