Obs ID (Primary)	Obs ID (Category)	M2.YVarPS($M2.DA(1))	M2.YPredPS[1]($M2.DA(1))	M2.YVarPS($M2.DA(2))	M2.YPredPS[1]($M2.DA(2))
1b74	0	0	0.237356	1	0.762644
1bls	0	0	0.0798911	1	0.920109
1bmq	0	0	0.167465	1	0.832535
1e66	1	1	0.874556	0	0.125444
1ec9	0	0	-0.420635	1	1.42063
1fk9	1	1	0.937799	0	0.0622015
1g98	0	0	0.0834225	1	0.916578
1kc7	0	0	-0.359813	1	1.35981
1kzn	1	1	0.678373	0	0.321627
1lox	1	1	1.06922	0	-0.0692165
1m0n	0	0	0.709326	1	0.290674
1mai	0	0	-0.053045	1	1.05305
1od8	0	0	-0.0333283	1	1.03333
1olq	0	0	-0.253882	1	1.25388
1oq5	1	1	0.773377	0	0.226623
1pmn	1	1	0.818381	0	0.181619
1pwm	1	1	0.791942	0	0.208058
1px4	0	0	0.493298	1	0.506702
1q41	1	1	0.573555	0	0.426445
1r55	1	1	0.44878	0	0.55122
1sqn	1	1	0.650376	0	0.349624
1t46	1	1	0.946352	0	0.0536476
1unl	1	1	0.36846	0	0.63154
1v16	0	0	0.338548	1	0.661452
1wvc	0	0	0.397633	1	0.602367
1xoz	1	1	0.607766	0	0.392234
2aa2	1	1	1.04892	0	-0.0489233
2cl5	1	1	0.824	0	0.176
2i1m	1	1	1.14947	0	-0.149474
3b68	1	1	0.954281	0	0.0457191
3etr	1	1	0.726112	0	0.273888
3f0r	1	1	0.849598	0	0.150402
3f1q	1	1	1.2436	0	-0.243596
3ia4	1	1	0.499021	0	0.500979
3jdw	0	0	0.232839	1	0.767161
